V1,V2,V3,V4,V5,V6,V7,V8
4744.75,4794.75,4854.75,4904.75,4924.75,4974.75,4984.75,5034.75
6355.5,6561.5,6681.0,6725.0,6881.0,6967.0,7073.0,7201.0
10711.75,10749.75,10839.75,11039.75,11095.75,11159.75,11235.75,11349.75
3233.75,3283.75,3361.75,3347.75,3363.75,3421.75,3457.75,3463.75
1094.75,1101.75,1105.75,1107.75,1112.75,1114.75,1117.75,1121.75
10675.9,10709.9,10719.7,10727.7,10725.9,10739.7,10759.4,10775.4
4980.75,5025.75,5075.75,5155.75,5195.75,5215.75,5295.75,5355.75
3920.75,3950.75,3990.75,4000.75,4030.75,4070.75,4100.75,4130.75
5237.8,5303.8,5351.8,5393.8,5455.8,5521.8,5557.8,5597.8
3044.7,3081.7,3127.7,3131.7,3157.7,3187.7,3207.7,3235.7
1607.85,1621.85,1627.85,1643.85,1651.85,1657.85,1671.85,1677.85
13555.7,13637.7,13701.7,13739.7,13809.7,13859.7,13941.7,14023.7
17755.8,17895.8,18085.8,18235.8,18385.8,18555.8,18705.8,18815.8
17259.8,17459.8,17675.8,17855.8,18055.8,18255.8,18455.8,18715.8
1670.75,1690.75,1705.75,1720.75,1725.75,1745.75,1760.75,1775.75
6820.75,6855.75,6880.75,6900.75,6910.75,6930.75,6950.75,6970.75
4530.75,4550.75,4560.75,4580.75,4580.75,4590.75,4600.75,4620.75
2193.75,2183.75,2177.75,2171.75,2165.75,2161.75,2157.75,2153.75
3530.75,3555.75,3625.75,3700.75,3680.75,3740.75,3820.75,3920.75
12280.75,12300.75,12307.75,12313.75,12305.75,12323.75,12329.75,12359.75
33455.75,33785.75,34295.75,34555.75,34685.75,35355.75,35555.75,35755.75
1107.9,1107.7,1113.7,1121.7,1115.7,1122.7,1124.7,1131.7
2373.8,2393.8,2411.8,2427.8,2443.8,2461.8,2477.8,2493.8
3887.75,3927.75,3967.75,4007.75,3997.75,4037.75,4073.75,4091.75
8483.7,8487.7,8551.7,8631.7,8633.7,8671.7,8741.7,8821.7
8631.75,8352.75,8483.75,8631.75,8740.75,8633.75,8637.75,8667.75
1083.75,1087.75,1089.75,1092.75,1094.75,1100.75,1102.75,1104.75
7224.75,7261.75,7301.75,7327.75,7351.75,7373.75,7391.75,7417.75
1571.7,1579.7,1591.7,1601.7,1607.7,1621.7,1627.7,1637.7
4007.8,4012.8,4042.8,4061.8,4071.8,4083.8,4097.8,4107.8
5961.7,6001.7,6041.7,6071.7,6091.7,6131.7,6151.7,6181.7
9070.75,9130.75,9185.75,9215.75,9280.75,9340.75,9410.75,9480.75
21180.75,21255.75,21375.75,21495.75,21555.75,21635.75,21715.75,21805.75
2433.75,2423.75,2407.75,2387.75,2357.75,2337.75,2357.75,2373.75
1490.75,1450.75,1430.75,1420.75,1400.75,1380.75,1370.75,1350.75
6805.75,6705.75,6655.75,6680.75,6655.75,6625.75,6595.75,6565.75
4308.75,4353.75,4374.75,4407.75,4431.75,4463.75,4483.75,4511.75
2307.7,2323.7,2357.7,2393.7,2423.7,2453.7,2471.7,2491.7
2307.8,2321.8,2327.4,2351.8,2354.8,2371.4,2377.4,2391.4
6064.75,6084.75,6111.75,6131.75,6133.75,6151.75,6173.75,6191.75
1824.75,1838.75,1854.75,1867.75,1881.75,1891.75,1907.75,1921.75
3690.75,3715.75,3735.75,3760.75,3790.75,3810.75,3830.75,3850.75
6290.75,6275.75,6360.75,6380.75,6400.75,6430.75,6450.75,6475.75
2320.75,2325.75,2335.75,2350.75,2355.75,2360.75,2370.75,2380.75
3107.7,3125.7,3143.7,3165.7,3159.7,3181.7,3195.7,3209.7
2353.75,2357.75,2371.75,2391.75,2405.75,2421.75,2433.75,2451.75
5851.75,5921.75,5967.75,6007.75,6043.75,6073.75,6131.75,6157.75
3924.75,3934.75,3954.75,3965.75,3974.75,3991.75,4004.75,4021.75
3427.7,3461.7,3481.7,3503.7,3513.7,3531.7,3551.7,3561.7
3270.75,3280.75,3310.75,3330.75,3345.75,3365.75,3380.75,3395.75
1424.75,1452.75,1453.75,1471.75,1471.75,1483.75,1487.75,1501.75
2474.75,2491.75,2523.75,2547.75,2573.75,2587.75,2613.75,2629.75
1570.75,1450.75,1570.75,1720.75,1580.75,1550.75,1640.75,1790.75
4070.75,4100.75,4130.75,4170.75,4200.75,4230.75,4255.75,4285.75
3250.75,3275.75,3300.75,3340.75,3360.75,3380.75,3410.75,3425.75
1464.94,1491.94,1515.94,1533.94,1551.94,1571.94,1581.94,1601.94
1687.0,1691.0,1701.0,1705.0,1707.0,1721.0,1725.0,1731.0
3334.85,3351.85,3363.85,3381.85,3393.85,3411.85,3424.85,3439.85
1777.78,1793.94,1813.94,1831.94,1851.94,1867.94,1883.94,1899.94
10343.8,10339.8,10355.4,10359.8,10364.8,10402.8,10409.8,10419.8
1442.88,1451.95,1457.85,1453.85,1461.85,1471.85,1481.85,1491.85
5974.85,6017.67,6074.85,6133.85,6181.85,6207.85,6273.85,6351.85
1217.184,1227.132,1237.008,1251.088,1257.84,1264.212,1271.988,1281.86
1075.95,1083.55,1092.15,1101.75,1104.95,1108.75,1113.75,1121.75
1128.181,1133.156,1142.134,1147.92,1154.92,1162.84,1168.64,1174.36
7941.44,8017.92,8101.88,8171.78,8221.66,8357.14,8433.02,8481.14
3347.75,3365.75,3407.75,3425.75,3451.75,3467.75,3493.75,3521.75
3344.91,3362.95,3393.91,3427.85,3461.75,3487.75,3523.75,3541.75
10039.95,10141.95,10210.95,10301.95,10355.95,10435.95,10515.95,10605.95
1123.85,1131.85,1135.85,1141.85,1134.85,1145.85,1154.85,1161.85
2821.94,2861.94,2881.94,2877.94,2887.94,2923.94,2931.94,2927.94
1057.97,1061.67,1061.94,1064.18,1064.94,1071.94,1067.94,1071.94
10549.93,10700.92,10755.85,10847.85,11013.85,11089.85,11175.85,11335.85
6353.4,6431.8,6521.8,6577.8,6653.8,6703.8,6733.8,6801.8
9453.75,9555.75,9623.75,9697.75,9727.75,9785.75,9855.75,9925.75
7587.5,7703.5,7777.5,7853.5,7931.5,8011.5,8073.5,8147.5
12061.75,12075.75,12115.75,12149.75,12155.75,12183.75,12207.75,12229.75
5963.5,6027.9,6133.7,6187.9,6273.7,6347.4,6407.4,6473.4
17555.75,17825.75,17895.75,18055.75,18255.75,18575.75,18755.75,18915.75
12095.75,12195.75,12355.75,12515.75,12555.75,12645.75,12715.75,12785.75
11659.75,11759.75,11839.75,11907.75,11949.75,12049.75,12155.75,12255.75
10459.4,10555.8,10629.4,10701.8,10743.4,10815.8,10885.4,10955.8
19299.4,19575.4,19855.4,20155.4,20375.4,20655.4,20855.4,21075.4
4065.75,3995.75,4133.75,4075.75,4201.75,4137.75,4181.75,4153.75
5673.75,5597.75,5707.75,5857.75,5873.75,5857.75,5923.75,6001.75
6001.75,5851.75,6064.75,6133.75,6073.75,6001.75,6193.75,6241.75
4431.75,4185.75,4287.75,4351.75,4501.75,4237.75,4387.75,4453.75
6037.75,5963.75,5923.75,5853.75,5853.75,5783.75,5703.75,5683.75
1901.75,1877.75,1941.75,1947.75,1954.75,1981.75,2003.75,2023.75
2247.75,2301.75,2444.75,2357.75,2357.75,2401.75,2481.75,2427.75
7701.75,7837.75,7777.75,7771.75,7831.75,7855.75,7891.75,7933.75
1007.8,1006.8,1131.8,1171.8,1017.8,1023.8,1137.8,1181.8
2354.75,2531.75,2563.75,2621.75,2557.75,2613.75,2651.75,2637.75
1253.9,1237.7,1251.9,1275.9,1301.7,1301.4,1307.7,1323.4
7942.75,6707.75,7161.75,6887.75,8172.75,6887.75,7202.75,6937.75
1457.5,1422.5,1444.5,1447.5,1494.5,1457.0,1473.0,1455.0
1213.75,1219.75,1227.75,1233.75,1237.75,1243.75,1251.75,1257.75
1218.75,1224.75,1232.75,1238.75,1244.75,1250.75,1256.75,1262.75
1187.75,1193.75,1207.75,1213.75,1221.75,1227.75,1235.75,1243.75
1222.75,1227.75,1237.75,1243.75,1247.75,1253.75,1261.75,1267.75
1227.75,1234.75,1241.75,1247.75,1253.75,1261.75,1267.75,1273.75
1228.75,1237.5,1244.75,1251.75,1257.75,1261.75,1267.75,1273.75
1203.75,1209.75,1217.75,1223.75,1229.75,1235.75,1241.75,1247.75
1241.75,1249.75,1257.75,1263.75,1271.75,1277.75,1283.75,1291.75
1241.75,1251.75,1257.75,1263.75,1271.75,1277.75,1283.75,1291.75
1237.75,1242.75,1247.75,1253.75,1257.75,1263.75,1271.75,1277.75
1264.75,1273.75,1291.75,1301.75,1303.75,1311.75,1321.75,1333.75
1203.75,1209.75,1217.75,1223.75,1228.75,1234.75,1240.75,1246.75
1194.75,1201.75,1207.75,1213.75,1217.75,1223.75,1229.75,1235.75
1194.75,1201.75,1207.75,1213.75,1217.75,1222.75,1227.75,1233.75
1222.75,1228.75,1234.75,1241.75,1247.75,1253.75,1261.75,1267.75
1233.75,1242.75,1251.75,1255.75,1261.75,1267.75,1273.75,1281.75
1218.75,1227.75,1233.75,1241.75,1244.75,1251.75,1257.75,1263.75
1192.0,1197.0,1203.0,1211.0,1217.0,1223.0,1229.0,1237.0
1207.75,1219.75,1227.75,1233.75,1237.75,1244.75,1251.75,1257.75
1290.75,1300.75,1307.75,1313.75,1321.75,1331.75,1337.75,1343.75
1218.75,1227.75,1237.75,1243.75,1247.75,1257.75,1263.75,1269.75
1222.75,1227.75,1233.75,1241.75,1247.75,1253.75,1259.75,1263.75
1227.75,1232.75,1241.75,1247.75,1251.75,1255.75,1261.75,1267.75
1224.75,1229.75,1235.75,1241.75,1247.75,1253.75,1259.75,1261.75
1174.75,1177.75,1181.75,1184.75,1187.75,1191.75,1194.75,1200.75
1219.75,1227.75,1233.75,1241.75,1247.75,1253.75,1261.75,1267.75
1235.75,1241.75,1247.75,1253.75,1259.75,1265.75,1271.75,1277.75
1209.75,1217.75,1225.75,1231.75,1237.75,1243.75,1249.75,1255.75
1237.75,1244.75,1253.75,1259.75,1263.75,1271.75,1277.75,1283.75
1261.75,1267.75,1273.75,1281.75,1283.75,1291.75,1297.75,1303.75
1233.75,1240.75,1245.75,1253.75,1257.75,1263.75,1271.75,1277.75
1227.75,1233.75,1240.75,1251.75,1253.75,1261.75,1267.75,1273.75
1251.75,1255.75,1261.75,1267.75,1271.75,1277.75,1283.75,1289.75
1194.75,1200.75,1203.75,1211.75,1214.75,1221.75,1224.75,1231.75
1187.0,1191.0,1193.0,1201.0,1203.0,1207.0,1211.0,1217.0
1183.75,1186.75,1191.75,1197.75,1201.75,1207.75,1213.75,1221.75
1357.5,1371.5,1381.0,1393.0,1401.0,1407.0,1421.0,1433.0
1725.4,1727.8,1729.4,1747.8,1737.4,1742.8,1755.4,1761.8
1702.7,1707.4,1727.7,1757.4,1773.7,1791.7,1807.7,1833.7
1622.7,1645.4,1663.4,1677.4,1693.4,1709.4,1733.4,1749.4
1677.5,1700.0,1707.5,1725.0,1741.5,1757.0,1773.5,1789.0
2407.5,2433.5,2471.5,2487.5,2523.5,2541.5,2567.5,2593.5
1203.7,1207.7,1209.7,1225.7,1231.7,1237.7,1243.7,1251.7
4955.0,4231.0,4741.0,4971.0,5007.0,4387.0,4857.0,5071.0
1507.7,1477.7,1477.7,1473.7,1481.7,1487.7,1493.7,1501.7
18540.75,18715.75,18955.75,19255.75,19585.75,19855.75,20155.75,20455.75
12040.75,12065.75,12440.75,12465.75,12595.75,12695.75,12775.75,12915.75
12140.75,11700.75,7000.75,11300.75,12100.75,12000.75,9300.75,11300.75
2561.75,2357.75,2917.75,2683.75,2663.75,2657.75,2733.75,2731.75
6802.5,5700.0,5350.0,6222.0,6881.0,6000.0,5700.0,6611.0
1447.75,1437.75,1641.75,938.75,1491.75,1453.75,1677.75,967.75
9960.75,10035.75,10055.75,10105.75,10115.75,10125.75,10155.75,10200.75
13780.75,14580.75,14880.75,15380.75,14280.75,14880.75,15580.75,15740.75
7200.75,7360.75,7360.75,7945.75,7360.75,7500.75,7600.75,8170.75
7094.7,7049.7,6887.7,6653.7,6561.7,6540.7,6431.7,6381.7
10785.656,10855.108,10945.148,11035.136,11095.156,11255.156,11335.132,11435.108
1752.8,1747.8,1753.4,1783.8,1790.8,1801.8,1821.8,1841.8
10785.153,10940.156,11023.102,11085.114,11155.122,11239.154,11315.186,11405.122
16455.96,16755.9,17155.94,17815.98,18055.94,18455.98,18955.94,19355.98
3712.8462,3811.4001,3963.8953,4077.6257,4193.325,4281.2,4367.626,4474.1504
11895.98,12007.94,12303.94,12495.94,12095.94,12385.94,12585.94,12755.94
9704.91,9580.95,9594.85,9681.85,9677.85,9693.85,9701.85,9727.85
11785.75,11855.75,11875.75,11885.75,11885.75,11855.75,11875.75,11895.75
16715.91,16835.91,17055.91,17255.91,17575.91,17855.91,18075.91,18355.91
30241.95,30871.85,31355.85,32095.85,32775.85,33495.85,34295.85,35355.85
24735.18,25335.18,26195.18,26955.18,27755.18,28605.18,29295.18,30055.18
16653.8,16809.8,17055.8,17395.8,17855.8,18255.8,18555.8,18825.8
4777.92,4853.8,4931.92,4883.8,4981.8,5043.8,5099.8,5135.8
10785.144,10835.124,10865.144,11015.96,11059.1,11095.14,11155.156,11229.148
11358.184,11419.04,11485.16,11575.04,11635.96,11685.92,11755.88,11835.84
7892.7,7857.7,7942.7,7937.7,7957.7,8003.7,8011.7,8047.7
11085.656,10795.154,11055.151,11155.138,11185.144,11085.156,11155.144,11215.14
12585.8,12965.4,13395.8,13475.8,13385.4,13755.0,13855.0,13955.0
5922.98,5857.95,5931.85,5974.75,6001.75,6027.75,6063.75,6091.75
7362.99,7200.95,7207.95,7381.95,7481.95,7367.95,7367.95,7453.95
12555.95,12075.75,12455.75,12685.75,12715.75,12555.75,12675.75,12785.75
2490.75,2485.75,2510.75,2520.75,2530.75,2550.75,2560.75,2570.75
10734.7,10771.8,10845.7,10959.7,11047.4,11089.4,11155.4,11255.4
11085.667,11075.667,11155.667,11255.667,11375.667,11450.667,11555.667,11655.667
8074.112,8004.128,7933.148,8007.12,8132.12,8141.96,8177.92,8203.64
1577.166,1533.094,1501.95,1543.04,1571.09,1577.14,1555.98,1571.94
9683.125,9381.125,9341.75,9437.75,9533.75,9551.75,9567.75,9583.75
9780.75,9890.75,10060.75,10165.75,10155.75,10230.75,10310.75,10385.75
7202.0,7203.0,7361.0,7517.0,7501.0,7557.0,7693.0,7801.0
5793.0,5853.0,5933.0,5953.0,6001.0,6047.0,6133.0,6181.0
2873.66,3021.94,3131.66,3071.94,3107.94,3193.94,3129.94,3157.94
498.15,485.85,471.85,465.85,458.85,455.85,443.85,441.85
1783.7,1731.7,1677.7,1653.7,1631.7,1627.7,1603.7,1581.7
3737.75,3783.75,3867.75,3923.75,3951.75,3977.75,3997.75,4021.75
13765.4,13855.8,13985.8,14395.8,14295.4,14555.4,14675.4,14855.4
5857.176,6002.1846,6093.1357,6027.1455,5857.176,6003.1855,6137.1357,6077.1455
863.4194,874.1847,874.4441,874.9657,868.9254,874.2001,879.0007,879.1093
23995.164,23595.104,24035.164,23295.084,23595.123,23095.1,23575.115,23275.111
11095.9,11149.7,11185.4,11255.1,11349.7,11407.4,11485.1,11555.7
1377.85,1387.85,1423.85,1421.85,1407.85,1421.85,1452.85,1444.85
12535.75,12665.75,12815.75,12995.75,13075.75,13175.75,13255.75,13355.75
11495.7,11540.7,11655.7,11695.7,11585.7,11655.7,11685.7,11695.7
3971.133,4007.133,4077.133,4121.133,4137.133,4205.133,4235.133,4281.133
1257.75,1274.75,1293.75,1303.75,1307.75,1333.75,1347.75,1361.75
11243.172,11345.154,11455.136,11555.124,11655.108,11735.092,11805.084,11875.072
8350.75,8355.75,8430.75,8430.75,8435.75,8480.75,8550.75,8550.75
6703.58,6691.94,6887.94,6887.94,6883.94,6901.94,7011.94,7071.94
4991.9,4981.7,5073.4,5141.0,5204.0,5254.5,5323.5,5351.5
4387.94,4233.94,4471.94,4503.94,4515.94,4473.94,4651.94,4677.94
3465.75,3490.75,3510.75,3530.75,3550.75,3570.75,3585.75,3605.75
2205.1223,2241.111,2291.1155,2351.1191,2403.1238,2481.1274,2531.131,2575.1345
10053.8,9677.8,9703.8,9761.8,10167.8,9867.8,9913.8,10095.4
15339.95,15455.85,15767.75,15855.75,15875.75,16015.75,16200.75,16295.75
6380.75,6590.75,6700.75,6725.75,6650.75,6885.75,6975.75,7075.75
2293.191,2327.155,2371.135,2407.115,2437.095,2475.075,2497.055,2523.035
2007.91,2031.91,2061.91,2091.91,2087.91,2111.91,2137.91,2163.91
3005.144,3017.148,3097.132,3133.148,3181.148,3209.148,3237.148,3277.148
1833.75,1861.75,1891.75,1897.75,1927.75,1947.75,1973.75,1991.75
4431.94,4437.94,4471.94,4511.94,4504.94,4531.94,4533.94,4553.94
11875.7,11855.7,11955.7,12035.7,11975.7,12035.7,12055.7,12175.7
8170.75,8160.75,8350.75,8350.75,8350.75,8430.75,8480.75,8430.75
3171.85,3191.85,3223.85,3207.85,3237.85,3253.85,3271.85,3237.85
7330.75,7420.75,7470.75,7500.75,7550.75,7600.75,7670.75,7700.75
7265.98,7364.74,7427.18,7487.94,7557.94,7623.94,7687.94,7757.94
2187.184,2201.104,2247.1,2281.04,2293.036,2329.112,2357.084,2383.52
10055.183,9892.149,9877.187,9925.187,9962.187,10055.187,10085.187,10155.187
3175.9,3151.7,3187.7,3203.7,3231.7,3251.7,3271.7,3291.7
11865.99,12015.95,12175.95,12255.95,12355.95,12455.95,12555.95,12615.95
9497.7,9151.7,9597.7,9743.7,9351.7,9361.7,9477.7,9533.7
15555.7,15395.4,15735.7,15685.4,15755.7,15775.7,15915.7,15895.7
9701.184,9381.115,9364.188,9501.17,9587.187,9533.142,9507.142,9552.18
8741.8,8931.8,9381.8,9331.8,9571.8,9661.8,9841.8,9861.8
26555.7,26715.7,26935.7,27045.7,27365.7,27475.7,27775.7,27955.7
7194.83,7261.88,7487.75,7633.66,7681.66,7757.66,7853.66,7931.66
8173.85,8483.9,8357.95,8433.85,8357.95,8631.85,8633.85,8723.85
3447.1924,3362.9153,3452.0398,3651.1404,3713.9636,3657.9707,3727.1233,3883.1338
1631.5,1623.5,1577.5,1631.5,1647.5,1661.5,1647.5,1673.5
8433.7,8483.4,8351.7,8633.4,8633.7,8741.7,8583.7,8747.7
8927.7,9173.7,9331.7,9507.7,9693.7,9821.7,10143.7,10299.7
7201.88,7206.98,7209.14,7203.98,7204.98,7209.98,7207.98,7203.98
2731.7,2811.4,2881.7,2917.7,2943.7,2977.7,3011.7,3047.7
1025.4,1054.8,1071.8,1077.4,1077.4,1104.0,1107.4,1123.4
8353.87,8431.93,8531.94,8637.99,8707.95,8793.95,8881.95,8961.95
15313.186,15449.194,15729.114,15795.026,16049.134,16255.118,16439.047,16585.018
12775.16,12917.04,13035.92,13155.92,13305.92,13435.92,13555.92,13715.92
9861.85,9897.85,10041.85,10151.85,10095.85,10115.85,10185.85,10255.85
8745.189,8921.948,9114.423,9331.124,9434.18,9591.148,9733.172,9897.149
2151.2688,2174.1133,2203.1013,2241.0352,2261.193,2291.0112,2322.9597,2353.7856
5035.187,4981.185,4987.181,5097.187,5153.185,5181.179,5217.175,5233.171
7894.18,7367.94,7641.94,7747.94,8027.94,7502.94,7777.94,7863.94
4717.85,4385.85,4741.85,4981.85,4747.85,4477.85,4851.85,5071.85
3343.62,3257.98,3341.94,3362.18,3364.94,3337.94,3363.94,3381.94
4794.7,4477.7,4744.7,4657.7,4854.7,4507.7,4747.7,4683.7
7862.95,7361.95,7941.95,8631.95,7941.95,7501.95,8171.95,8721.95
3907.185,3747.145,3881.155,3920.185,3951.155,3883.155,3932.155,3957.155
5657.6,4747.6,5352.6,5591.6,5851.6,4981.6,5591.6,5851.6
2007.7,1891.7,1991.7,2171.7,2081.7,2017.7,2131.7,2241.7
1641.95,1577.95,1631.95,1587.95,1671.95,1621.95,1673.95,1641.95
4500.142,3817.167,3993.215,4071.142,4571.108,4002.108,4181.142,4261.142
9591.149,9187.1,9711.2,8913.2,9733.9,9611.7,9861.7,9007.7
10759.4,10085.7,10665.7,10295.7,11349.7,10795.7,11359.7,10595.7
11817.7,9007.7,10595.7,12083.7,11895.7,9617.7,10785.7,12295.7
13346.85,13334.85,13355.85,13417.85,13437.85,13503.85,13559.85,13607.85
7492.8,7511.8,7547.8,7771.8,7831.8,7881.8,7941.8,8013.8
6307.8,5391.8,6001.8,6273.8,6401.8,5591.8,6201.8,6473.8
2131.8,2083.8,2207.8,2351.8,2243.8,2301.8,2427.8,2551.8
11355.85,9745.85,10095.85,10255.85,11695.85,10085.85,10595.85,10795.85
4434.93,3114.83,3660.85,4231.85,4502.85,3362.85,3921.85,4237.85
1931.94,1783.94,1931.94,2041.94,1981.94,1843.94,1987.94,2081.94
8631.98,8171.94,8637.98,8743.94,9001.94,8431.94,8743.94,8841.94
8631.185,7487.136,8172.133,8431.194,8637.133,7607.143,8352.144,8483.133
5354.147,5291.187,5357.133,5851.185,5853.125,5857.075,5933.125,6003.125
13643.18,12939.9,13721.94,13795.94,13919.94,13485.94,14249.94,14355.94
7931.66,7891.18,7837.14,7757.02,8171.66,8142.18,8011.94,7937.94
4795.142,4131.94,4231.94,4301.94,4982.94,4231.94,4387.94,4463.94
10285.129,9411.94,9877.95,10085.99,10535.95,9891.95,10085.95,10700.95
26895.14,26975.02,27355.94,27395.94,27555.94,27755.94,27955.94,28235.94
9397.13,9445.86,9501.66,9567.14,9591.94,9643.94,9691.94,9707.94
21859.95,21955.85,22065.85,22475.85,22635.85,22855.85,23075.85,23355.85
5457.8,5555.7,5483.7,5683.4,5597.4,5687.4,5623.4,5831.4
5597.96,5931.85,5851.85,6007.85,5907.85,6137.85,6093.85,6007.85
7941.9,8011.85,8083.7,8171.65,8081.85,8141.85,8201.85,8351.85
1041.6667,1047.3337,1083.3337,1111.3337,1087.3337,1093.3337,1103.3337,1109.3337
1551.7,1571.7,1331.7,1247.7,1611.7,1627.7,1371.7,1257.7
6700.75,6930.75,6940.75,6700.75,6795.75,6885.75,6935.75,6905.75
9281.88,9731.94,9500.94,11233.94,9333.94,10055.94,10155.94,11395.94
1344.4,1293.4,1377.8,1333.4,1331.8,1333.4,1341.8,1334.4
1751.9,2151.9,2207.7,2081.9,1801.7,2131.7,2181.7,2131.7
7200.9,7605.7,7930.7,7200.7,7500.7,8173.7,8353.7,7360.7
2353.3333,2331.6667,2531.3337,2557.6667,2407.3337,2433.6667,2551.3337,2537.6667
521.9,570.9,518.4,585.9,587.9,640.9,559.9,592.9
10549.135,10615.143,10704.165,10739.155,10801.09,10907.12,10959.145,11055.14
